01.01. 00:00;24,0647
01.01. 01:00;20,6618
01.01. 02:00;19,0294
01.01. 03:00;19,5801
01.01. 04:00;23,4057
01.01. 05:00;26,2773
01.01. 06:00;31,6863
01.01. 07:00;45,3553
01.01. 08:00;74,142
01.01. 09:00;90,131
01.01. 10:00;91,43
01.01. 11:00;94,095
01.01. 12:00;86,483
01.01. 13:00;72,322
01.01. 14:00;67,955
01.01. 15:00;74,967
01.01. 16:00;79,018
01.01. 17:00;80,268
01.01. 18:00;66,14500000000001
01.01. 19:00;45,956
01.01. 20:00;37,6064
01.01. 21:00;32,9647
01.01. 22:00;29,9257
01.01. 23:00;27,9983
02.01. 00:00;24,0647
02.01. 01:00;20,6618
02.01. 02:00;19,0294
02.01. 03:00;19,5801
02.01. 04:00;23,4057
02.01. 05:00;26,2773
02.01. 06:00;31,6863
02.01. 07:00;45,3553
02.01. 08:00;74,142
02.01. 09:00;90,131
02.01. 10:00;91,43
02.01. 11:00;94,095
02.01. 12:00;86,483
02.01. 13:00;72,322
02.01. 14:00;67,955
02.01. 15:00;74,967
02.01. 16:00;79,018
02.01. 17:00;80,268
02.01. 18:00;66,14500000000001
02.01. 19:00;45,956
02.01. 20:00;37,6064
02.01. 21:00;32,9647
02.01. 22:00;29,9257
02.01. 23:00;27,9983
03.01. 00:00;24,0647
03.01. 01:00;20,6618
03.01. 02:00;19,0294
03.01. 03:00;19,5801
03.01. 04:00;23,4057
03.01. 05:00;26,2773
03.01. 06:00;31,6863
03.01. 07:00;45,3553
03.01. 08:00;74,142
03.01. 09:00;90,131
03.01. 10:00;91,43
03.01. 11:00;94,095
03.01. 12:00;86,483
03.01. 13:00;72,322
03.01. 14:00;67,955
03.01. 15:00;74,967
03.01. 16:00;79,018
03.01. 17:00;80,268
03.01. 18:00;66,14500000000001
03.01. 19:00;45,956
03.01. 20:00;37,6064
03.01. 21:00;32,9647
03.01. 22:00;29,9257
03.01. 23:00;27,9983
04.01. 00:00;24,0647
04.01. 01:00;20,6618
04.01. 02:00;19,0294
04.01. 03:00;19,5801
04.01. 04:00;23,4057
04.01. 05:00;26,2773
04.01. 06:00;31,6863
04.01. 07:00;45,3553
04.01. 08:00;74,142
04.01. 09:00;90,131
04.01. 10:00;91,43
04.01. 11:00;94,095
04.01. 12:00;86,483
04.01. 13:00;72,322
04.01. 14:00;67,955
04.01. 15:00;74,967
04.01. 16:00;79,018
04.01. 17:00;80,268
04.01. 18:00;66,14500000000001
04.01. 19:00;45,956
04.01. 20:00;37,6064
04.01. 21:00;32,9647
04.01. 22:00;29,9257
04.01. 23:00;27,9983
05.01. 00:00;29,1588
05.01. 01:00;28,844
05.01. 02:00;25,52
05.01. 03:00;25,1267
05.01. 04:00;25,9823
05.01. 05:00;27,8016
05.01. 06:00;31,4698
05.01. 07:00;46,4866
05.01. 08:00;66,717
05.01. 09:00;76,167
05.01. 10:00;80,179
05.01. 11:00;81,595
05.01. 12:00;77,583
05.01. 13:00;67,837
05.01. 14:00;50,824
05.01. 15:00;37,6261
05.01. 16:00;32,8959
05.01. 17:00;35,8854
05.01. 18:00;38,1374
05.01. 19:00;38,1081
05.01. 20:00;36,8296
05.01. 21:00;33,5744
05.01. 22:00;30,2701
05.01. 23:00;26,9853
06.01. 00:00;23,6122
06.01. 01:00;20,8094
06.01. 02:00;18,164
06.01. 03:00;16,6889
06.01. 04:00;16,4724
06.01. 05:00;17,328
06.01. 06:00;19,491600000000002
06.01. 07:00;20,18
06.01. 08:00;19,3638
06.01. 09:00;21,802699999999998
06.01. 10:00;25,9626
06.01. 11:00;28,6375
06.01. 12:00;30,5946
06.01. 13:00;31,4994
06.01. 14:00;29,2965
06.01. 15:00;26,0216
06.01. 16:00;24,5366
06.01. 17:00;31,0667
06.01. 18:00;36,1608
06.01. 19:00;36,987
06.01. 20:00;35,088899999999995
06.01. 21:00;30,7913
06.01. 22:00;27,5853
06.01. 23:00;24,2809
07.01. 00:00;24,0647
07.01. 01:00;20,6618
07.01. 02:00;19,0294
07.01. 03:00;19,5801
07.01. 04:00;23,4057
