Zeit;pv
19.02. 06:00;0
19.02. 07:00;0,95388
19.02. 08:00;14,254
19.02. 09:00;27,615
19.02. 10:00;25
19.02. 11:00;18,657
19.02. 12:00;31,265
19.02. 13:00;36,421
19.02. 14:00;20,4
19.02. 15:00;12,304
19.02. 16:00;3,8051
19.02. 17:00;0
19.02. 18:00;0
19.02. 19:00;0
19.02. 20:00;0
19.02. 21:00;0
19.02. 22:00;0
19.02. 23:00;0
20.02. 00:00;0
20.02. 01:00;0
20.02. 02:00;0
20.02. 03:00;0
20.02. 04:00;0
20.02. 05:00;0
20.02. 06:00;0
20.02. 07:00;1,8413
20.02. 08:00;12,717
20.02. 09:00;35,264
20.02. 10:00;88,616
20.02. 11:00;112,08
20.02. 12:00;105,48
20.02. 13:00;92,752
20.02. 14:00;83,176
20.02. 15:00;49,942
20.02. 16:00;30,907
20.02. 17:00;1,5173
20.02. 18:00;0
20.02. 19:00;0
20.02. 20:00;0
20.02. 21:00;0
20.02. 22:00;0
20.02. 23:00;0
21.02. 00:00;0
21.02. 01:00;0
21.02. 02:00;0
21.02. 03:00;0
21.02. 04:00;0
21.02. 05:00;0
21.02. 06:00;0
21.02. 07:00;1,8361
21.02. 08:00;21,476
21.02. 09:00;63,908
21.02. 10:00;59,781
21.02. 11:00;54,943
21.02. 12:00;82,284
21.02. 13:00;61,851
21.02. 14:00;32,765
21.02. 15:00;21,755
21.02. 16:00;10,854
21.02. 17:00;0
21.02. 18:00;0
21.02. 19:00;0
21.02. 20:00;0
21.02. 21:00;0
21.02. 22:00;0
21.02. 23:00;0
22.02. 00:00;0
22.02. 01:00;0
22.02. 02:00;0
22.02. 03:00;0
22.02. 04:00;0
22.02. 05:00;0
22.02. 06:00;0
22.02. 07:00;1,846
22.02. 08:00;30,469
22.02. 09:00;45,008
22.02. 10:00;30,86
22.02. 11:00;40,641
22.02. 12:00;40,257
22.02. 13:00;67,218
22.02. 14:00;51,861
22.02. 15:00;34,043
22.02. 16:00;17,231
22.02. 17:00;1,2317
22.02. 18:00;0
22.02. 19:00;0
22.02. 20:00;0
22.02. 21:00;0
22.02. 22:00;0
22.02. 23:00;0
23.02. 00:00;0
23.02. 01:00;0
23.02. 02:00;0
23.02. 03:00;0
23.02. 04:00;0
23.02. 05:00;0
23.02. 06:00;0
23.02. 07:00;2,8173
23.02. 08:00;25,685
23.02. 09:00;42,832
23.02. 10:00;36,083
23.02. 11:00;61,336
23.02. 12:00;86,181
23.02. 13:00;48,539
23.02. 14:00;39,269
23.02. 15:00;28,637
23.02. 16:00;15,351
23.02. 17:00;0
23.02. 18:00;0
23.02. 19:00;0
23.02. 20:00;0
23.02. 21:00;0
23.02. 22:00;0
23.02. 23:00;0
24.02. 00:00;0
24.02. 01:00;0
24.02. 02:00;0
24.02. 03:00;0
24.02. 04:00;0
24.02. 05:00;0
24.02. 06:00;0
24.02. 07:00;1,5489
24.02. 08:00;34,358
24.02. 09:00;66,397
24.02. 10:00;100,13
24.02. 11:00;71,052
24.02. 12:00;41,302
24.02. 13:00;23,858
24.02. 14:00;33,556
24.02. 15:00;62,72
24.02. 16:00;36,332
24.02. 17:00;2,1628
24.02. 18:00;0
24.02. 19:00;0
24.02. 20:00;0
24.02. 21:00;0
24.02. 22:00;0
24.02. 23:00;0
25.02. 00:00;0
25.02. 01:00;0
25.02. 02:00;0
25.02. 03:00;0
25.02. 04:00;0
25.02. 05:00;0
25.02. 06:00;0
25.02. 07:00;8,11
25.02. 08:00;48,069
25.02. 09:00;71,049
25.02. 10:00;82,525
25.02. 11:00;96,947
25.02. 12:00;115,01
25.02. 13:00;121,7
25.02. 14:00;103,98
25.02. 15:00;73,468
25.02. 16:00;31,341
25.02. 17:00;2,4711
25.02. 18:00;0
25.02. 19:00;0
25.02. 20:00;0
25.02. 21:00;0
25.02. 22:00;0
25.02. 23:00;0
26.02. 00:00;0
26.02. 01:00;0
26.02. 02:00;0
26.02. 03:00;0
26.02. 04:00;0
26.02. 05:00;0
26.02. 06:00;0
26.02. 07:00;1,235
26.02. 08:00;8,7473
26.02. 09:00;21,148
26.02. 10:00;22,95
26.02. 11:00;25,855
26.02. 12:00;27,652
26.02. 13:00;21,717
26.02. 14:00;17,664
26.02. 15:00;12,567
26.02. 16:00;5,4731
26.02. 17:00;0
26.02. 18:00;0
26.02. 19:00;0
26.02. 20:00;0
26.02. 21:00;0
26.02. 22:00;0
26.02. 23:00;0
27.02. 00:00;0
27.02. 01:00;0
27.02. 02:00;0
27.02. 03:00;0
27.02. 04:00;0
27.02. 05:00;0
27.02. 06:00;0
27.02. 07:00;10,823
27.02. 08:00;63,543
27.02. 09:00;111,66
27.02. 10:00;148,76
27.02. 11:00;169,58
27.02. 12:00;173,32
27.02. 13:00;166
27.02. 14:00;137,25
27.02. 15:00;95,247
27.02. 16:00;45,009
27.02. 17:00;4,3714
27.02. 18:00;0
27.02. 19:00;0
27.02. 20:00;0
27.02. 21:00;0
27.02. 22:00;0
27.02. 23:00;0
28.02. 00:00;0
28.02. 01:00;0
28.02. 02:00;0
28.02. 03:00;0
28.02. 04:00;0
28.02. 05:00;0
28.02. 06:00;0
28.02. 07:00;9,3457
28.02. 08:00;61,188
28.02. 09:00;112,97
28.02. 10:00;134,48
28.02. 11:00;90,244
28.02. 12:00;104,61
28.02. 13:00;127,14
28.02. 14:00;113,27
28.02. 15:00;81,644
28.02. 16:00;42,49
28.02. 17:00;5,7603
28.02. 18:00;0
28.02. 19:00;0
28.02. 20:00;0
28.02. 21:00;0
28.02. 22:00;0
28.02. 23:00;0
01.03. 00:00;0
01.03. 01:00;0
01.03. 02:00;0
01.03. 03:00;0
01.03. 04:00;0
01.03. 05:00;0
01.03. 06:00;0
01.03. 07:00;5,9337
01.03. 08:00;26,885
01.03. 09:00;52,664
01.03. 10:00;55,547
01.03. 11:00;72,05
01.03. 12:00;121,81
01.03. 13:00;117,62
01.03. 14:00;68,238
01.03. 15:00;57,121
01.03. 16:00;18,093
01.03. 17:00;3,1224
01.03. 18:00;0
01.03. 19:00;0
01.03. 20:00;0
01.03. 21:00;0
01.03. 22:00;0
01.03. 23:00;0
02.03. 00:00;0
02.03. 01:00;0
02.03. 02:00;0
02.03. 03:00;0
02.03. 04:00;0
02.03. 05:00;0
02.03. 06:00;0
02.03. 07:00;16,073
02.03. 08:00;34,705
02.03. 09:00;76,998
02.03. 10:00;134,33
02.03. 11:00;139,27
02.03. 12:00;106,51
02.03. 13:00;78,778
02.03. 14:00;46,806
02.03. 15:00;16,257
02.03. 16:00;3,7895
02.03. 17:00;0
02.03. 18:00;0
02.03. 19:00;0
02.03. 20:00;0
02.03. 21:00;0
02.03. 22:00;0
02.03. 23:00;0
03.03. 00:00;0
03.03. 01:00;0
03.03. 02:00;0
03.03. 03:00;0
03.03. 04:00;0
03.03. 05:00;0
03.03. 06:00;0
03.03. 07:00;8,4044
03.03. 08:00;24,101
03.03. 09:00;47,819
03.03. 10:00;84,747
03.03. 11:00;97,963
03.03. 12:00;59,577
03.03. 13:00;35,882
03.03. 14:00;61,251
03.03. 15:00;60,658
03.03. 16:00;27,102
03.03. 17:00;3,8205
03.03. 18:00;0
03.03. 19:00;0
03.03. 20:00;0
03.03. 21:00;0
03.03. 22:00;0
03.03. 23:00;0
04.03. 00:00;0
04.03. 01:00;0
04.03. 02:00;0
04.03. 03:00;0
04.03. 04:00;0
04.03. 05:00;0
04.03. 06:00;0
04.03. 07:00;4,9344
04.03. 08:00;25,937
04.03. 09:00;69,4
04.03. 10:00;118,33
04.03. 11:00;143,64
04.03. 12:00;151,24
04.03. 13:00;144,32
04.03. 14:00;131,22
04.03. 15:00;96,454
04.03. 16:00;50,928
04.03. 17:00;8,75
04.03. 18:00;0
04.03. 19:00;0
04.03. 20:00;0
04.03. 21:00;0
04.03. 22:00;0
04.03. 23:00;0
05.03. 00:00;0
05.03. 01:00;0
05.03. 02:00;0
05.03. 03:00;0
05.03. 04:00;0
05.03. 05:00;0
05.03. 06:00;0
05.03. 07:00;3,9019
05.03. 08:00;55,922
05.03. 09:00;110,38
05.03. 10:00;142,34
05.03. 11:00;154,25
05.03. 12:00;161,48
05.03. 13:00;147,85
05.03. 14:00;135,81
05.03. 15:00;95,969
05.03. 16:00;51,225
05.03. 17:00;7,2572
05.03. 18:00;0
05.03. 19:00;0
05.03. 20:00;0
05.03. 21:00;0
05.03. 22:00;0
05.03. 23:00;0
06.03. 00:00;0
06.03. 01:00;0
06.03. 02:00;0
06.03. 03:00;0
06.03. 04:00;0
06.03. 05:00;0
06.03. 06:00;0
06.03. 07:00;6,7132
06.03. 08:00;41,235
06.03. 09:00;88,608
06.03. 10:00;111,98
06.03. 11:00;142,83
06.03. 12:00;141,36
06.03. 13:00;110,96
06.03. 14:00;85,59
06.03. 15:00;55,96
06.03. 16:00;26,154
06.03. 17:00;4,8205
06.03. 18:00;0
06.03. 19:00;0
06.03. 20:00;0
06.03. 21:00;0
06.03. 22:00;0
06.03. 23:00;0
07.03. 00:00;0
07.03. 01:00;0
07.03. 02:00;0
07.03. 03:00;0
07.03. 04:00;0
07.03. 05:00;0
07.03. 06:00;0
07.03. 07:00;3,8537
07.03. 08:00;44,719
07.03. 09:00;55,869
07.03. 10:00;35,283
07.03. 11:00;37,057
07.03. 12:00;57,341
07.03. 13:00;55,253
07.03. 14:00;36,382
07.03. 15:00;22,412
07.03. 16:00;19,124
07.03. 17:00;6,5334
07.03. 18:00;0
07.03. 19:00;0
07.03. 20:00;0
07.03. 21:00;0
07.03. 22:00;0
07.03. 23:00;0
08.03. 00:00;0
08.03. 01:00;0
08.03. 02:00;0
08.03. 03:00;0
08.03. 04:00;0
08.03. 05:00;0
08.03. 06:00;0
08.03. 07:00;28,832
08.03. 08:00;44,535
08.03. 09:00;29,254
08.03. 10:00;91,372
08.03. 11:00;197,79
08.03. 12:00;129,45
08.03. 13:00;31,611
08.03. 14:00;28,725
08.03. 15:00;14,958
08.03. 16:00;15,342
08.03. 17:00;6,4714
08.03. 18:00;0
08.03. 19:00;0
08.03. 20:00;0
08.03. 21:00;0
08.03. 22:00;0
08.03. 23:00;0
09.03. 00:00;0
09.03. 01:00;0
09.03. 02:00;0
09.03. 03:00;0
09.03. 04:00;0
09.03. 05:00;0
09.03. 06:00;0
09.03. 07:00;2,1461
09.03. 08:00;13,654
09.03. 09:00;20,905
09.03. 10:00;27,082
09.03. 11:00;24,121
09.03. 12:00;25,202
09.03. 13:00;22,633
09.03. 14:00;22,614
09.03. 15:00;14,272
09.03. 16:00;14,642
09.03. 17:00;2,7544
09.03. 18:00;0
09.03. 19:00;0
09.03. 20:00;0
09.03. 21:00;0
09.03. 22:00;0
09.03. 23:00;0
10.03. 00:00;0
10.03. 01:00;0
10.03. 02:00;0
10.03. 03:00;0
10.03. 04:00;0
10.03. 05:00;0
10.03. 06:00;0
10.03. 07:00;16,074
10.03. 08:00;28,853
10.03. 09:00;56,041
10.03. 10:00;83,265
10.03. 11:00;74,136
10.03. 12:00;39,746
10.03. 13:00;58,733
10.03. 14:00;66,281
10.03. 15:00;84,424
10.03. 16:00;52,644
10.03. 17:00;6,3988
10.03. 18:00;0
10.03. 19:00;0
10.03. 20:00;0
10.03. 21:00;0
10.03. 22:00;0
10.03. 23:00;0
11.03. 00:00;0
11.03. 01:00;0
11.03. 02:00;0
11.03. 03:00;0
11.03. 04:00;0
11.03. 05:00;0
11.03. 06:00;0
11.03. 07:00;6,4687
11.03. 08:00;26,92
11.03. 09:00;51,96
11.03. 10:00;106,79
11.03. 11:00;95,577
11.03. 12:00;43,013
11.03. 13:00;25,709
11.03. 14:00;20,327
11.03. 15:00;19,609
11.03. 16:00;7,8305
11.03. 17:00;2,1056
11.03. 18:00;0
11.03. 19:00;0
11.03. 20:00;0
11.03. 21:00;0
11.03. 22:00;0
11.03. 23:00;0
12.03. 00:00;0
12.03. 01:00;0
12.03. 02:00;0
12.03. 03:00;0
12.03. 04:00;0
12.03. 05:00;0
12.03. 06:00;0
12.03. 07:00;17,755
12.03. 08:00;28,843
12.03. 09:00;27,743
12.03. 10:00;59,62
12.03. 11:00;112,2
12.03. 12:00;72,481
12.03. 13:00;56,073
12.03. 14:00;37,19
12.03. 15:00;28,102
12.03. 16:00;18,294
12.03. 17:00;6,8502
12.03. 18:00;0
12.03. 19:00;0
12.03. 20:00;0
12.03. 21:00;0
12.03. 22:00;0
12.03. 23:00;0
13.03. 00:00;0
13.03. 01:00;0
13.03. 02:00;0
13.03. 03:00;0
13.03. 04:00;0
13.03. 05:00;0
13.03. 06:00;1,5407
13.03. 07:00;39,018
13.03. 08:00;83,617
13.03. 09:00;141,05
13.03. 10:00;176,33
13.03. 11:00;166,44
13.03. 12:00;179,87
13.03. 13:00;170,21
13.03. 14:00;155,98
13.03. 15:00;118,36
13.03. 16:00;68,772
13.03. 17:00;16,998
13.03. 18:00;0
13.03. 19:00;0
13.03. 20:00;0
13.03. 21:00;0
13.03. 22:00;0
13.03. 23:00;0
14.03. 00:00;0
14.03. 01:00;0
14.03. 02:00;0
14.03. 03:00;0
14.03. 04:00;0
14.03. 05:00;0
14.03. 06:00;0
14.03. 07:00;18,364
14.03. 08:00;38,768
14.03. 09:00;65,155
14.03. 10:00;83,411
14.03. 11:00;129,21
14.03. 12:00;191,72
14.03. 13:00;151,13
14.03. 14:00;80,855
14.03. 15:00;77,116
14.03. 16:00;55,066
14.03. 17:00;15,851
14.03. 18:00;0
14.03. 19:00;0
14.03. 20:00;0
14.03. 21:00;0
14.03. 22:00;0
14.03. 23:00;0
15.03. 00:00;0
15.03. 01:00;0
15.03. 02:00;0
15.03. 03:00;0
15.03. 04:00;0
15.03. 05:00;0
15.03. 06:00;1,5419
15.03. 07:00;34,968
15.03. 08:00;82,424
15.03. 09:00;141,8
15.03. 10:00;177,59
15.03. 11:00;198,17
15.03. 12:00;203
15.03. 13:00;189,31
15.03. 14:00;162,17
15.03. 15:00;120,79
15.03. 16:00;69,689
15.03. 17:00;26,216
15.03. 18:00;0
15.03. 19:00;0
15.03. 20:00;0
15.03. 21:00;0
15.03. 22:00;0
15.03. 23:00;0
16.03. 00:00;0
16.03. 01:00;0
16.03. 02:00;0
16.03. 03:00;0
16.03. 04:00;0
16.03. 05:00;0
16.03. 06:00;2,4973
16.03. 07:00;38,674
16.03. 08:00;81,593
16.03. 09:00;114,9
16.03. 10:00;161,83
16.03. 11:00;196,25
16.03. 12:00;200,69
16.03. 13:00;185,55
16.03. 14:00;159,46
16.03. 15:00;120,91
16.03. 16:00;70,757
16.03. 17:00;26,531
16.03. 18:00;0
16.03. 19:00;0
16.03. 20:00;0
16.03. 21:00;0
16.03. 22:00;0
16.03. 23:00;0
17.03. 00:00;0
17.03. 01:00;0
17.03. 02:00;0
17.03. 03:00;0
17.03. 04:00;0
17.03. 05:00;0
17.03. 06:00;0
17.03. 07:00;20,004
17.03. 08:00;50,434
17.03. 09:00;90,575
17.03. 10:00;74,863
17.03. 11:00;44,838
17.03. 12:00;35,481
17.03. 13:00;28,772
17.03. 14:00;37,929
17.03. 15:00;67,162
17.03. 16:00;62,684
17.03. 17:00;23,304
17.03. 18:00;0
17.03. 19:00;0
17.03. 20:00;0
17.03. 21:00;0
17.03. 22:00;0
17.03. 23:00;0
18.03. 00:00;0
18.03. 01:00;0
18.03. 02:00;0
18.03. 03:00;0
18.03. 04:00;0
18.03. 05:00;0
18.03. 06:00;2,4895
18.03. 07:00;34,899
18.03. 08:00;88,745
18.03. 09:00;147,89
18.03. 10:00;181,14
18.03. 11:00;201,59
18.03. 12:00;201,52
18.03. 13:00;178,17
18.03. 14:00;104,7
18.03. 15:00;42,45
18.03. 16:00;69,318
18.03. 17:00;28,256
18.03. 18:00;0
18.03. 19:00;0
18.03. 20:00;0
18.03. 21:00;0
18.03. 22:00;0
18.03. 23:00;0
19.03. 00:00;0
19.03. 01:00;0
19.03. 02:00;0
19.03. 03:00;0
19.03. 04:00;0
19.03. 05:00;0
19.03. 06:00;0
19.03. 07:00;10,507
19.03. 08:00;20,357
19.03. 09:00;29,199
19.03. 10:00;26,205
19.03. 11:00;23,614
19.03. 12:00;23,233
19.03. 13:00;18,075
19.03. 14:00;19,546
19.03. 15:00;19,913
19.03. 16:00;14,425
19.03. 17:00;6,9309
19.03. 18:00;0
19.03. 19:00;0
19.03. 20:00;0
19.03. 21:00;0
19.03. 22:00;0
19.03. 23:00;0
20.03. 00:00;0
20.03. 01:00;0
20.03. 02:00;0
20.03. 03:00;0
20.03. 04:00;0
20.03. 05:00;0
20.03. 06:00;0,67904
20.03. 07:00;13,809
20.03. 08:00;26,743
20.03. 09:00;39,369
20.03. 10:00;43,051
20.03. 11:00;36,317
20.03. 12:00;34,821
20.03. 13:00;33,66
20.03. 14:00;29,917
20.03. 15:00;22,142
20.03. 16:00;15,539
20.03. 17:00;4,4907
20.03. 18:00;0
20.03. 19:00;0
20.03. 20:00;0
20.03. 21:00;0
20.03. 22:00;0
20.03. 23:00;0
21.03. 00:00;0
21.03. 01:00;0
21.03. 02:00;0
21.03. 03:00;0
21.03. 04:00;0
21.03. 05:00;0
21.03. 06:00;7,0838
21.03. 07:00;56,961
21.03. 08:00;103,04
21.03. 09:00;156,96
21.03. 10:00;188,75
21.03. 11:00;210,75
21.03. 12:00;217,44
21.03. 13:00;204,28
21.03. 14:00;178,39
21.03. 15:00;137,03
21.03. 16:00;84,05
21.03. 17:00;34,439
21.03. 18:00;0
21.03. 19:00;0
21.03. 20:00;0
21.03. 21:00;0
21.03. 22:00;0
21.03. 23:00;0
22.03. 00:00;0
22.03. 01:00;0
22.03. 02:00;0
22.03. 03:00;0
22.03. 04:00;0
22.03. 05:00;0
22.03. 06:00;7,7973
22.03. 07:00;58,224
22.03. 08:00;104,27
22.03. 09:00;162,06
22.03. 10:00;196,73
22.03. 11:00;216,2
22.03. 12:00;215,05
22.03. 13:00;200,73
22.03. 14:00;175,53
22.03. 15:00;135,92
22.03. 16:00;84,039
22.03. 17:00;35,043
22.03. 18:00;0,67171
22.03. 19:00;0
22.03. 20:00;0
22.03. 21:00;0
22.03. 22:00;0
22.03. 23:00;0
23.03. 00:00;0
23.03. 01:00;0
23.03. 02:00;0
23.03. 03:00;0
23.03. 04:00;0
23.03. 05:00;0
23.03. 06:00;9,1971
23.03. 07:00;61,252
23.03. 08:00;107,05
23.03. 09:00;165,57
23.03. 10:00;199,44
23.03. 11:00;217,92
23.03. 12:00;220,13
23.03. 13:00;204,27
23.03. 14:00;178,07
23.03. 15:00;136,61
23.03. 16:00;86,333
23.03. 17:00;37,033
23.03. 18:00;0,92202
23.03. 19:00;0
23.03. 20:00;0
23.03. 21:00;0
23.03. 22:00;0
23.03. 23:00;0
24.03. 00:00;0
24.03. 01:00;0
24.03. 02:00;0
24.03. 03:00;0
24.03. 04:00;0
24.03. 05:00;0
24.03. 06:00;10,168
24.03. 07:00;62,809
24.03. 08:00;107,32
24.03. 09:00;165,39
24.03. 10:00;198,77
24.03. 11:00;216,75
24.03. 12:00;218,03
24.03. 13:00;202,84
24.03. 14:00;175,79
24.03. 15:00;136,57
24.03. 16:00;85,832
24.03. 17:00;35,56
24.03. 18:00;0,91139
24.03. 19:00;0
24.03. 20:00;0
24.03. 21:00;0
24.03. 22:00;0
24.03. 23:00;0
25.03. 00:00;0
25.03. 01:00;0
25.03. 02:00;0
25.03. 03:00;0
25.03. 04:00;0
25.03. 05:00;0
25.03. 06:00;8,9152
25.03. 07:00;54,355
25.03. 08:00;82,8
25.03. 09:00;115,65
25.03. 10:00;172,94
25.03. 11:00;184,4
25.03. 12:00;202,26
25.03. 13:00;174,66
25.03. 14:00;164,23
25.03. 15:00;135,88
25.03. 16:00;85,851
25.03. 17:00;35,023
25.03. 18:00;0,92095
25.03. 19:00;0
25.03. 20:00;0
25.03. 21:00;0
25.03. 22:00;0
25.03. 23:00;0
26.03. 00:00;0
26.03. 01:00;0
26.03. 02:00;0
26.03. 03:00;0
26.03. 04:00;0
26.03. 05:00;0
26.03. 06:00;3,4699
26.03. 07:00;23,703
26.03. 08:00;40,026
26.03. 09:00;56,672
26.03. 10:00;65,82
26.03. 11:00;93,043
26.03. 12:00;149,69
26.03. 13:00;193,35
26.03. 14:00;178,03
26.03. 15:00;136
26.03. 16:00;84,517
26.03. 17:00;34,769
26.03. 18:00;0,92282
26.03. 19:00;0
26.03. 20:00;0
26.03. 21:00;0
26.03. 22:00;0
26.03. 23:00;0
27.03. 00:00;0
27.03. 01:00;0
27.03. 02:00;0
27.03. 03:00;0
27.03. 04:00;0
27.03. 05:00;0
27.03. 06:00;5,2159
27.03. 07:00;39,562
27.03. 08:00;60,672
27.03. 09:00;102,76
27.03. 10:00;81,564
27.03. 11:00;108,72
27.03. 12:00;121,98
27.03. 13:00;81,664
27.03. 14:00;79,304
27.03. 15:00;33,062
27.03. 16:00;17,316
27.03. 17:00;12,379
27.03. 18:00;0
27.03. 19:00;0
27.03. 20:00;0
27.03. 21:00;0
27.03. 22:00;0
27.03. 23:00;0
28.03. 00:00;0
28.03. 01:00;0
28.03. 02:00;0
28.03. 03:00;0
28.03. 04:00;0
28.03. 05:00;0
28.03. 06:00;6,7048
28.03. 07:00;39,521
28.03. 08:00;82,479
28.03. 09:00;140,55
28.03. 10:00;175,01
28.03. 11:00;152,46
28.03. 12:00;158,19
28.03. 13:00;206,41
28.03. 14:00;172,61
28.03. 15:00;125,3
28.03. 16:00;50,152
28.03. 17:00;30,354
28.03. 18:00;1,1936
28.03. 19:00;0
28.03. 20:00;0
28.03. 21:00;0
28.03. 22:00;0
28.03. 23:00;0
29.03. 00:00;0
29.03. 01:00;0
29.03. 02:00;0
29.03. 03:00;0
29.03. 04:00;0
29.03. 05:00;0
29.03. 06:00;14,539
29.03. 07:00;64,224
29.03. 08:00;106,62
29.03. 09:00;166,36
29.03. 10:00;202,97
29.03. 11:00;224,93
29.03. 12:00;231,03
29.03. 13:00;218,43
29.03. 14:00;185,84
29.03. 15:00;138,48
29.03. 16:00;83,358
29.03. 17:00;31,85
29.03. 18:00;1,4793
29.03. 19:00;0
29.03. 20:00;0
29.03. 21:00;0
29.03. 22:00;0
29.03. 23:00;0
30.03. 00:00;0
30.03. 01:00;0
30.03. 02:00;0
30.03. 03:00;0
30.03. 04:00;0
30.03. 05:00;0
30.03. 06:00;7,6026
30.03. 07:00;39,562
30.03. 08:00;87,543
30.03. 09:00;136,01
30.03. 10:00;175,87
30.03. 11:00;210,24
30.03. 12:00;223,28
30.03. 13:00;209,05
30.03. 14:00;182,3
30.03. 15:00;140,41
30.03. 16:00;90,851
30.03. 17:00;39,901
30.03. 18:00;2,106
30.03. 19:00;0
30.03. 20:00;0
30.03. 21:00;0
30.03. 22:00;0
30.03. 23:00;0
31.03. 00:00;0
31.03. 01:00;0
31.03. 02:00;0
31.03. 03:00;0
31.03. 04:00;0
31.03. 05:00;0
31.03. 06:00;6,5867
31.03. 07:00;37,568
31.03. 08:00;82,821
31.03. 09:00;156,49
31.03. 10:00;212,33
31.03. 11:00;232,89
31.03. 12:00;234,21
31.03. 13:00;220,95
31.03. 14:00;193,48
31.03. 15:00;152,93
31.03. 16:00;101,53
31.03. 17:00;44,429
31.03. 18:00;2,7327
31.03. 19:00;0
31.03. 20:00;0
31.03. 21:00;0
31.03. 22:00;0
31.03. 23:00;0
01.04. 00:00;0
01.04. 01:00;0
01.04. 02:00;0
01.04. 03:00;0
01.04. 04:00;0
01.04. 05:00;0,66933
01.04. 06:00;30,466
01.04. 07:00;74,881
01.04. 08:00;112,4
01.04. 09:00;165,26
01.04. 10:00;205,07
01.04. 11:00;207,57
01.04. 12:00;175,18
01.04. 13:00;162,28
01.04. 14:00;142,61
01.04. 15:00;109,54
01.04. 16:00;75,051
01.04. 17:00;28,096
01.04. 18:00;0,92721
01.04. 19:00;0
01.04. 20:00;0
01.04. 21:00;0
01.04. 22:00;0
01.04. 23:00;0
02.04. 00:00;0
02.04. 01:00;0
02.04. 02:00;0
02.04. 03:00;0
02.04. 04:00;0
02.04. 05:00;0
02.04. 06:00;19,468
02.04. 07:00;81,683
02.04. 08:00;138,65
02.04. 09:00;182,83
02.04. 10:00;206,15
02.04. 11:00;207,61
02.04. 12:00;210,44
02.04. 13:00;199,85
02.04. 14:00;183,29
02.04. 15:00;145,65
02.04. 16:00;95,918
02.04. 17:00;42,512
02.04. 18:00;2,4177
02.04. 19:00;0
02.04. 20:00;0
02.04. 21:00;0
02.04. 22:00;0
02.04. 23:00;0
03.04. 00:00;0
03.04. 01:00;0
03.04. 02:00;0
03.04. 03:00;0
03.04. 04:00;0
03.04. 05:00;0,94834
03.04. 06:00;33,648
03.04. 07:00;86,982
03.04. 08:00;142,03
03.04. 09:00;131,74
03.04. 10:00;71,407
03.04. 11:00;170,43
03.04. 12:00;234,98
03.04. 13:00;196,96
03.04. 14:00;162,59
03.04. 15:00;129,38
03.04. 16:00;58,856
03.04. 17:00;20,831
03.04. 18:00;1,1953
03.04. 19:00;0
03.04. 20:00;0
03.04. 21:00;0
03.04. 22:00;0
03.04. 23:00;0
04.04. 00:00;0
04.04. 01:00;0
04.04. 02:00;0
04.04. 03:00;0
04.04. 04:00;0
04.04. 05:00;0
04.04. 06:00;2,4467
04.04. 07:00;12,829
04.04. 08:00;42,539
04.04. 09:00;68,408
04.04. 10:00;97,501
04.04. 11:00;142,14
04.04. 12:00;115,34
04.04. 13:00;73,946
04.04. 14:00;57,526
04.04. 15:00;98,274
04.04. 16:00;66,28
04.04. 17:00;17,965
04.04. 18:00;0
04.04. 19:00;0
04.04. 20:00;0
04.04. 21:00;0
04.04. 22:00;0
04.04. 23:00;0
05.04. 00:00;0
05.04. 01:00;0
05.04. 02:00;0
05.04. 03:00;0
05.04. 04:00;0
05.04. 05:00;0,66849
05.04. 06:00;9,3391
05.04. 07:00;20,491
05.04. 08:00;47,928
05.04. 09:00;54,084
05.04. 10:00;36,65
05.04. 11:00;52,46
05.04. 12:00;41,018
05.04. 13:00;47,243
05.04. 14:00;54,409
05.04. 15:00;43,455
05.04. 16:00;55,441
05.04. 17:00;44,122
05.04. 18:00;4,0814
05.04. 19:00;0
05.04. 20:00;0
05.04. 21:00;0
05.04. 22:00;0
05.04. 23:00;0
06.04. 00:00;0
06.04. 01:00;0
06.04. 02:00;0
06.04. 03:00;0
06.04. 04:00;0
06.04. 05:00;0
06.04. 06:00;10,85
06.04. 07:00;42,647
06.04. 08:00;90,061
06.04. 09:00;155,53
06.04. 10:00;212,77
06.04. 11:00;202,57
06.04. 12:00;146,41
06.04. 13:00;147,15
06.04. 14:00;130,5
06.04. 15:00;70,833
06.04. 16:00;44,31
06.04. 17:00;37,44
06.04. 18:00;4,3746
06.04. 19:00;0
06.04. 20:00;0
06.04. 21:00;0
06.04. 22:00;0
06.04. 23:00;0
07.04. 00:00;0
07.04. 01:00;0
07.04. 02:00;0
07.04. 03:00;0
07.04. 04:00;0
07.04. 05:00;2,4675
07.04. 06:00;39,587
07.04. 07:00;94,831
07.04. 08:00;149,55
07.04. 09:00;193,91
07.04. 10:00;225,87
07.04. 11:00;241,2
07.04. 12:00;240,88
07.04. 13:00;224,22
07.04. 14:00;197,45
07.04. 15:00;156,47
07.04. 16:00;104,31
07.04. 17:00;48,662
07.04. 18:00;4,332
07.04. 19:00;0
07.04. 20:00;0
07.04. 21:00;0
07.04. 22:00;0
07.04. 23:00;0
08.04. 00:00;0
08.04. 01:00;0
08.04. 02:00;0
08.04. 03:00;0
08.04. 04:00;0
08.04. 05:00;2,7827
08.04. 06:00;38,123
08.04. 07:00;90,375
08.04. 08:00;141,05
08.04. 09:00;177,23
08.04. 10:00;214,77
08.04. 11:00;236,88
08.04. 12:00;231,37
08.04. 13:00;196,82
08.04. 14:00;169,51
